# bin wp err_mocks err_jk_mock0 err_jk_mock1
0.031 3212.689  nan  nan  nan
0.094 1345.780 127.339 109.977 61.571
0.156 882.204 124.492 95.111 91.706
0.219 644.683 80.996 56.144 35.235
0.281 532.054 84.091 53.163 39.264
0.372 391.849 68.977 32.557 39.162
0.511 279.846 58.687 26.279 32.045
0.693 202.123 42.834 15.079 25.517
0.933 141.834 32.821 12.148 20.341
1.250 97.638 24.143 10.735 11.440
1.668 70.260 15.462 5.053 3.335
2.219 52.711 11.023 2.670 3.076
2.945 41.042 9.819 3.680 4.821
3.902 33.486 8.311 4.218 1.897
5.163 27.564 6.860 3.552 2.076
6.827 20.943 6.052 2.773 2.997
9.019 16.078 5.437 3.001 2.863
11.909 12.047 5.197 3.251 3.090
15.720 8.361 4.390 2.620 2.907
20.742 4.632 3.739 2.008 2.376
27.364 2.389 3.447 2.793 2.446
36.092 0.004 2.797 2.706 3.695
52.528 -0.808 3.207 1.908 3.287
