# bin wp err_mocks err_jk_mock0 err_jk_mock1
0.031 1790.744  nan 608.587 954.492
0.094 943.908 111.054 99.605 150.944
0.156 651.744 89.750 120.185 99.607
0.219 494.926 74.490 86.578 64.273
0.281 398.792 58.952 65.333 59.092
0.372 307.229 54.567 55.006 39.731
0.511 226.716 43.302 34.631 30.692
0.693 167.990 34.030 25.471 23.725
0.933 120.593 26.798 19.848 17.286
1.250 86.475 20.857 13.388 12.862
1.668 63.697 15.343 7.270 11.562
2.219 47.563 10.437 3.776 9.848
2.945 37.054 8.733 3.687 7.044
3.902 30.432 7.309 3.276 7.327
5.163 25.106 6.947 3.796 4.352
6.827 19.992 5.824 3.720 3.016
9.019 15.715 5.273 4.021 4.161
11.909 12.275 4.506 3.549 5.372
15.720 8.587 4.298 2.963 4.060
20.742 5.424 4.442 4.265 4.614
27.364 2.224 4.267 3.797 2.483
36.092 0.858 4.554 2.934 3.430
52.528 -0.174 6.273 4.015 2.596
